Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00     3040     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__relocate_a<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.02     0.00     3040     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__relocate_a_1<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.02     0.00     2900     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::__normal_iterator(long* const&)
  0.00      0.02     0.00     2882     0.00     0.00  std::vector<long, std::allocator<long> >::max_size() const
  0.00      0.02     0.00     2882     0.00     0.00  std::allocator_traits<std::allocator<long> >::max_size(std::allocator<long> const&)
  0.00      0.02     0.00     2882     0.00     0.00  std::vector<long, std::allocator<long> >::_S_max_size(std::allocator<long> const&)
  0.00      0.02     0.00     2882     0.00     0.00  std::vector<long, std::allocator<long> >::_S_relocate(long*, long*, long*, std::allocator<long>&)
  0.00      0.02     0.00     2882     0.00     0.00  std::vector<long, std::allocator<long> >::_S_do_relocate(long*, long*, long*, std::allocator<long>&, std::integral_constant<bool, true>)
  0.00      0.02     0.00     2882     0.00     0.00  std::vector<long, std::allocator<long> >::_S_use_relocate()
  0.00      0.02     0.00     2882     0.00     0.00  std::vector<long, std::allocator<long> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.02     0.00     2882     0.00     0.00  long* std::__relocate_a<long*, long*, std::allocator<long> >(long*, long*, long*, std::allocator<long>&)
  0.00      0.02     0.00     2882     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<long, void>::value, long*>::type std::__relocate_a_1<long, long>(long*, long*, long*, std::allocator<long>&)
  0.00      0.02     0.00     2868     0.00     0.00  std::operator!=(std::_Rb_tree_const_iterator<long> const&, std::_Rb_tree_const_iterator<long> const&)
  0.00      0.02     0.00     2853     0.00     0.00  std::_Rb_tree_const_iterator<long>::operator*() const
  0.00      0.02     0.00     2853     0.00     0.00  std::_Rb_tree_const_iterator<long>::operator++()
  0.00      0.02     0.00     2660     0.00     0.00  void __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.02     0.00     2660     0.00     0.00  void std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.02     0.00     2660     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.02     0.00     2348     0.00     0.00  std::_Rb_tree_iterator<long>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.02     0.00     2176     0.00     0.00  std::remove_reference<long&>::type&& std::move<long&>(long&)
  0.00      0.02     0.00     2172     0.00     0.00  void __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.02     0.00     2172     0.00     0.00  void std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.02     0.00     2172     0.00     0.00  void std::__relocate_object_a<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.02     0.00     2022     0.00     0.00  std::vector<std::vector<long, std::allocator<long> >, std::allocator<std::vector<long, std::allocator<long> > > >::size() const
  0.00      0.02     0.00     2010     0.00     0.00  std::_Rb_tree<long, long, std::_Identity<long>, std::less<long>, std::allocator<long> >::_M_end()
